task_id,method,control_index,control_r,alpha,one_minus_alpha,gamma,graph_family,n,p,graph_seed,init_id,init_seed,device_seed,initial_parameters,final_parameters,final_objective_loss,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,best_ratio_so_far,final_optimal_mass,shots,steps,tail_window,optimizer_learning_rate,optimizer_learning_rate_decay_power,optimizer_learning_rate_decay_offset,optimizer_momentum,optimizer_gradient_clip,optimizer_tilt_learning_rate_penalty,simulator
CVaR|r=0.698970004336|erdos_renyi|g=2|init=0,CVaR,2,0.6989700043360187,0.2,0.8,2.795880017344075,erdos_renyi,8,2,2,0,20262429,930200,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]","[3.078937352654155, 0.5850283864784277, 3.0277178118767014, 4.1349725891980595]",1.6999999999999995,0.562,0.5625,0.5630000000000001,1.0,0.05,100,2,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
QTL|r=0.698970004336|erdos_renyi|g=2|init=0,QTL,2,0.6989700043360187,0.2,0.8,2.795880017344075,erdos_renyi,8,2,2,0,20262429,930200,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]","[3.0691442147802377, 0.6162256545095615, 3.0423454557347798, 4.103573047699758]",1.0648407718000958,0.5479999999999999,0.546,0.5479999999999999,1.0,0.05,100,2,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
CVaR|r=1|erdos_renyi|g=2|init=0,CVaR,3,0.9999999999999998,0.1,0.9,3.999999999999999,erdos_renyi,8,2,2,0,20262429,930300,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]","[3.0444288992132384, 0.583394490757086, 3.0267757005275233, 4.147230179192457]",0.0,0.618,0.5845,0.618,1.0,0.12000000000000001,100,2,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
QTL|r=1|erdos_renyi|g=2|init=0,QTL,3,0.9999999999999998,0.1,0.9,3.999999999999999,erdos_renyi,8,2,2,0,20262429,930300,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]","[3.055737447625224, 0.555330588140863, 2.996866012894791, 4.082436336899994]",0.5292457123839479,0.591,0.5705,0.591,1.0,0.12000000000000001,100,2,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
CVaR|r=-0|erdos_renyi|g=3|init=0,CVaR,0,-0.0,1.0,0.0,-0.0,erdos_renyi,8,2,3,0,20262429,940000,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]","[3.071728881716723, 0.640088734629425, 2.9752953093561194, 4.188513394387704]",3.44,0.6177777777777778,0.6027777777777777,0.6177777777777778,1.0,0.04,100,2,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
QTL|r=-0|erdos_renyi|g=3|init=0,QTL,0,-0.0,1.0,0.0,-0.0,erdos_renyi,8,2,3,0,20262429,940000,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]","[3.071728881716723, 0.640088734629425, 2.9752953093561194, 4.188513394387704]",3.44,0.6177777777777778,0.6027777777777777,0.6177777777777778,1.0,0.04,100,2,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
CVaR|r=0.301029995664|erdos_renyi|g=3|init=0,CVaR,1,0.30102999566398114,0.5,0.5,1.2041199826559246,erdos_renyi,8,2,3,0,20262429,940100,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]","[3.1278876305273173, 0.6898213723108938, 2.961912223751338, 4.165890084280753]",1.6199999999999988,0.6377777777777778,0.616111111111111,0.6377777777777778,1.0,0.08,100,2,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
QTL|r=0.301029995664|erdos_renyi|g=3|init=0,QTL,1,0.30102999566398114,0.5,0.5,1.2041199826559246,erdos_renyi,8,2,3,0,20262429,940100,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]","[3.146477321813919, 0.6526553028990716, 2.9899121004157796, 4.115457017914695]",1.5717801037366959,0.6277777777777778,0.6172222222222222,0.6277777777777778,1.0,0.09000000000000001,100,2,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
CVaR|r=0.698970004336|erdos_renyi|g=3|init=0,CVaR,2,0.6989700043360187,0.2,0.8,2.795880017344075,erdos_renyi,8,2,3,0,20262429,940200,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]","[3.1371649397936916, 0.7080788545870816, 2.947953844323164, 4.132686230904208]",0.7000000000000001,0.6233333333333333,0.6055555555555555,0.6233333333333333,1.0,0.06,100,2,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
QTL|r=0.698970004336|erdos_renyi|g=3|init=0,QTL,2,0.6989700043360187,0.2,0.8,2.795880017344075,erdos_renyi,8,2,3,0,20262429,940200,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]","[3.1242147728838683, 0.6880295334128748, 2.984237858392961, 4.1525356673060605]",1.0185822524051114,0.6088888888888889,0.6033333333333333,0.6088888888888889,1.0,0.05,100,2,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
CVaR|r=1|erdos_renyi|g=3|init=0,CVaR,3,0.9999999999999998,0.1,0.9,3.999999999999999,erdos_renyi,8,2,3,0,20262429,940300,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]","[3.0764004700922167, 0.6631093513466675, 2.9919456213498816, 4.18873366734602]",0.7000000000000001,0.6144444444444443,0.605,0.6144444444444443,1.0,0.03,100,2,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
