,graph_family,n,p,seed,gamma_plot,gamma_start,gamma_end,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,final_optimal_mass
83,erdos_renyi,8,2,1,256.0,0.0,256.0,0.66086,0.661332,0.6656599999999999,0.0134
84,erdos_renyi,8,2,1,512.0,0.0,512.0,0.66095,0.6611969999999999,0.66625,0.0132
85,erdos_renyi,8,2,1,1024.0,0.0,1024.0,0.6599999999999999,0.661049,0.66586,0.0139
86,erdos_renyi,8,2,2,0.0,0.0,0.0,0.81889,0.817577,0.82182,0.4098
87,erdos_renyi,8,2,2,0.25,0.0,0.25,0.81875,0.8166209999999999,0.8222799999999999,0.41800000000000004
88,erdos_renyi,8,2,2,0.33,0.0,0.33,0.8189599999999999,0.816503,0.82197,0.4199
89,erdos_renyi,8,2,2,0.38,0.0,0.38,0.81859,0.816291,0.82194,0.4204
90,erdos_renyi,8,2,2,0.4,0.0,0.4,0.81863,0.8161530000000001,0.8218799999999998,0.4206
91,erdos_renyi,8,2,2,0.5,0.0,0.5,0.81796,0.8157979999999998,0.8218500000000001,0.42210000000000003
92,erdos_renyi,8,2,2,0.56,0.0,0.56,0.8177799999999997,0.8154049999999999,0.82172,0.4229
93,erdos_renyi,8,2,2,0.6,0.0,0.6,0.8177399999999999,0.8152800000000001,0.8213799999999999,0.42310000000000003
94,erdos_renyi,8,2,2,0.64,0.0,0.64,0.81714,0.814996,0.8212200000000001,0.42369999999999997
95,erdos_renyi,8,2,2,0.7,0.0,0.7,0.8168400000000002,0.8147880000000001,0.82125,0.4238
96,erdos_renyi,8,2,2,0.74,0.0,0.74,0.8165600000000002,0.814569,0.82126,0.4244
97,erdos_renyi,8,2,2,0.8,0.0,0.8,0.8162900000000001,0.8144139999999999,0.82122,0.4249
98,erdos_renyi,8,2,2,0.85,0.0,0.85,0.8160000000000001,0.8141480000000001,0.8213699999999999,0.42569999999999997
99,erdos_renyi,8,2,2,0.9,0.0,0.9,0.8159399999999998,0.813877,0.8211000000000002,0.4263
100,erdos_renyi,8,2,2,1.0,0.0,1.0,0.8157900000000001,0.8132530000000001,0.8204,0.4266
101,erdos_renyi,8,2,2,1.1,0.0,1.1,0.8156299999999999,0.8128759999999999,0.8198599999999999,0.4266
102,erdos_renyi,8,2,2,1.2,0.0,1.2,0.81516,0.812589,0.81985,0.4265
103,erdos_renyi,8,2,2,1.25,0.0,1.25,0.8148600000000001,0.81243,0.81999,0.4264
104,erdos_renyi,8,2,2,1.28,0.0,1.28,0.81501,0.812327,0.8202300000000001,0.4266
105,erdos_renyi,8,2,2,1.3,0.0,1.3,0.81494,0.812275,0.8201499999999999,0.42669999999999997
106,erdos_renyi,8,2,2,1.4,0.0,1.4,0.8148200000000001,0.812081,0.8199,0.4274
