,iteration,loss,mean_cut,mean_ratio,best_ratio_step,best_ratio_so_far,best_cut_so_far,optimal_mass,gamma,lr,grad_norm,circuit_evals,shots_used,graph_family,n,p,seed,objective,mode
85,86,2.427734375,12.5830078125,0.8388671875,1.0,1.0,15,0.08984375,,0.014968876320348053,1.4692508573998566,1204,1232896,erdos_renyi,14,3,0,Expectation,sampled
86,87,2.3994140625,12.5927734375,0.8395182291666666,1.0,1.0,15,0.0859375,,0.01488013541235063,0.6267964295033002,1218,1247232,erdos_renyi,14,3,0,Expectation,sampled
87,88,2.361328125,12.564453125,0.8376302083333333,1.0,1.0,15,0.09765625,,0.014792861312304815,1.1471895456984276,1232,1261568,erdos_renyi,14,3,0,Expectation,sampled
88,89,2.361328125,12.5966796875,0.8397786458333333,1.0,1.0,15,0.0947265625,,0.014707014553932862,1.4791040899803438,1246,1275904,erdos_renyi,14,3,0,Expectation,sampled
89,90,2.3916015625,12.626953125,0.841796875,1.0,1.0,15,0.091796875,,0.0146225571338434,0.43288053673274707,1260,1290240,erdos_renyi,14,3,0,Expectation,sampled
90,91,2.2744140625,12.6318359375,0.8421223958333334,1.0,1.0,15,0.11328125,,0.014539452442750376,0.7926932922887943,1274,1304576,erdos_renyi,14,3,0,Expectation,sampled
91,92,2.3271484375,12.6220703125,0.8414713541666666,1.0,1.0,15,0.103515625,,0.014457665200596373,0.9695696900744848,1288,1318912,erdos_renyi,14,3,0,Expectation,sampled
92,93,2.3935546875,12.6533203125,0.8435546875,1.0,1.0,15,0.10546875,,0.014377161395321273,0.8289497155560218,1302,1333248,erdos_renyi,14,3,0,Expectation,sampled
93,94,2.3603515625,12.6142578125,0.8409505208333333,1.0,1.0,15,0.087890625,,0.014297908225037063,0.8609078348521765,1316,1347584,erdos_renyi,14,3,0,Expectation,sampled
94,95,2.46484375,12.6123046875,0.8408203125,1.0,1.0,15,0.0888671875,,0.014219874043387296,0.8251525506671835,1330,1361920,erdos_renyi,14,3,0,Expectation,sampled
95,96,2.431640625,12.619140625,0.8412760416666667,1.0,1.0,15,0.1240234375,,0.014143028307886312,1.1439415776467114,1344,1376256,erdos_renyi,14,3,0,Expectation,sampled
96,97,2.275390625,12.701171875,0.8467447916666667,1.0,1.0,15,0.1103515625,,0.01406734153104827,1.0806951433211178,1358,1390592,erdos_renyi,14,3,0,Expectation,sampled
97,98,2.369140625,12.59765625,0.83984375,1.0,1.0,15,0.0986328125,,0.013992785234129921,0.9804629139517543,1372,1404928,erdos_renyi,14,3,0,Expectation,sampled
