,graph_family,n,p,seed,gamma_plot,gamma_start,gamma_end,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,final_optimal_mass
87,erdos_renyi,8,2,2,1.5,0.0,1.5,0.82314453125,0.8169531250000001,0.83017578125,0.4462890625
88,erdos_renyi,8,2,2,2.0,0.0,2.0,0.821875,0.81611328125,0.8318359375,0.4462890625
89,erdos_renyi,8,2,2,3.0,0.0,3.0,0.8208984375,0.8150683593749999,0.83134765625,0.4453125
90,erdos_renyi,8,2,2,4.0,0.0,4.0,0.82119140625,0.8148730468750001,0.8279296875,0.4462890625
91,erdos_renyi,8,2,2,5.0,0.0,5.0,0.8212890625,0.814873046875,0.825390625,0.4462890625
92,erdos_renyi,8,2,2,6.0,0.0,6.0,0.82109375,0.814990234375,0.825390625,0.4462890625
93,erdos_renyi,8,2,2,7.0,0.0,7.0,0.82080078125,0.8151660156249999,0.82470703125,0.4462890625
94,erdos_renyi,8,2,2,8.0,0.0,8.0,0.82119140625,0.8151660156250001,0.82490234375,0.4462890625
95,erdos_renyi,8,2,2,10.0,0.0,10.0,0.82119140625,0.815380859375,0.82548828125,0.4462890625
96,erdos_renyi,8,2,2,12.0,0.0,12.0,0.82109375,0.8152441406250001,0.82529296875,0.4462890625
97,erdos_renyi,8,2,2,14.0,0.0,14.0,0.82109375,0.81517578125,0.8248046875,0.4462890625
98,erdos_renyi,8,2,2,16.0,0.0,16.0,0.82158203125,0.81529296875,0.82451171875,0.4462890625
99,erdos_renyi,8,2,2,18.0,0.0,18.0,0.8216796875,0.815283203125,0.8248046875,0.4462890625
100,erdos_renyi,8,2,2,24.0,0.0,24.0,0.81923828125,0.81546875,0.82568359375,0.4453125
101,erdos_renyi,8,2,2,32.0,0.0,32.0,0.81875,0.8155566406249999,0.8263671875,0.4453125
102,erdos_renyi,8,2,2,45.0,0.0,45.0,0.81875,0.8152246093750002,0.825390625,0.4443359375
103,erdos_renyi,8,2,2,55.0,0.0,55.0,0.8216796875,0.8154003906249999,0.82939453125,0.4443359375
104,erdos_renyi,8,2,2,64.0,0.0,64.0,0.82421875,0.8170019531249999,0.8328125,0.4462890625
105,erdos_renyi,8,2,3,0.0,0.0,0.0,0.5858289930555556,0.5792643229166666,0.5891927083333334,0.0078125
106,erdos_renyi,8,2,3,0.25,0.0,0.25,0.5834418402777778,0.579296875,0.5930989583333334,0.005859375
107,erdos_renyi,8,2,3,0.33,0.0,0.33,0.5850694444444444,0.5784613715277779,0.5910373263888888,0.005859375
108,erdos_renyi,8,2,3,0.4,0.0,0.4,0.5852864583333334,0.57841796875,0.5909288194444444,0.005859375
109,erdos_renyi,8,2,3,0.5,0.0,0.5,0.5818142361111112,0.5790473090277779,0.58984375,0.005859375
110,erdos_renyi,8,2,3,0.56,0.0,0.56,0.5810546875,0.57890625,0.5886501736111112,0.005859375
111,erdos_renyi,8,2,3,0.64,0.0,0.64,0.5817057291666666,0.5789605034722223,0.5886501736111112,0.005859375
112,erdos_renyi,8,2,3,0.7,0.0,0.7,0.5817057291666666,0.5793294270833333,0.5889756944444444,0.005859375
113,erdos_renyi,8,2,3,0.8,0.0,0.8,0.5830078125,0.5797526041666666,0.5889756944444444,0.005859375
114,erdos_renyi,8,2,3,0.9,0.0,0.9,0.5810546875,0.5791775173611111,0.5921223958333334,0.005859375
115,erdos_renyi,8,2,3,1.0,0.0,1.0,0.5851779513888888,0.5801215277777777,0.5890842013888888,0.0068359375
116,erdos_renyi,8,2,3,1.1,0.0,1.1,0.5855034722222222,0.5774197048611112,0.5910373263888888,0.005859375
117,erdos_renyi,8,2,3,1.2,0.0,1.2,0.5836588541666666,0.5763780381944443,0.5903862847222222,0.00390625
118,erdos_renyi,8,2,3,1.25,0.0,1.25,0.5864800347222222,0.5767686631944444,0.5926649305555556,0.0068359375
119,erdos_renyi,8,2,3,1.28,0.0,1.28,0.5853949652777778,0.5758680555555555,0.5911458333333334,0.0048828125
120,erdos_renyi,8,2,3,1.3,0.0,1.3,0.5855034722222222,0.5750976562499999,0.5927734375,0.005859375
121,erdos_renyi,8,2,3,1.4,0.0,1.4,0.5815972222222222,0.5754231770833333,0.5930989583333334,0.00390625
122,erdos_renyi,8,2,3,1.5,0.0,1.5,0.5861545138888888,0.5760308159722223,0.5913628472222222,0.0068359375
123,erdos_renyi,8,2,3,2.0,0.0,2.0,0.5851779513888888,0.5772135416666666,0.5916883680555556,0.0068359375
124,erdos_renyi,8,2,3,3.0,0.0,3.0,0.5857204861111112,0.5745551215277779,0.5893012152777778,0.0078125
