,graph_family,n,p,seed,gamma_plot,gamma_raw,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,final_optimal_mass
85,erdos_renyi,8,2,2,0.8,0.8,0.8135600000000001,0.8114699999999999,0.82054,0.4252
86,erdos_renyi,8,2,2,0.85,0.85,0.8129200000000001,0.811182,0.8206399999999998,0.4252
87,erdos_renyi,8,2,2,0.9,0.9,0.8128,0.8109439999999999,0.8206199999999999,0.4258
88,erdos_renyi,8,2,2,1.0,1.0,0.81268,0.8105979999999999,0.8204,0.426
89,erdos_renyi,8,2,2,1.1,1.1,0.8126200000000001,0.810196,0.8204799999999999,0.4264
90,erdos_renyi,8,2,2,1.2,1.2,0.81192,0.8097960000000001,0.8200399999999999,0.42579999999999996
91,erdos_renyi,8,2,2,1.25,1.25,0.8119999999999999,0.809704,0.8199400000000001,0.4262
92,erdos_renyi,8,2,2,1.28,1.28,0.81174,0.8096019999999999,0.8200000000000001,0.4264
93,erdos_renyi,8,2,2,1.3,1.3,0.8117999999999999,0.8095140000000001,0.8201799999999999,0.4266
94,erdos_renyi,8,2,2,1.35,1.35,0.81142,0.809318,0.8200199999999999,0.4262
95,erdos_renyi,8,2,2,1.4,1.4,0.8108999999999998,0.8092119999999999,0.8193400000000001,0.4258
96,erdos_renyi,8,2,2,1.5,1.5,0.8104800000000001,0.809066,0.81892,0.42600000000000005
97,erdos_renyi,8,2,2,1.8,1.8,0.80982,0.8084619999999999,0.8183200000000002,0.4264
98,erdos_renyi,8,2,2,2.2,2.2,0.8095399999999999,0.808048,0.81728,0.4268
99,erdos_renyi,8,2,2,2.6,2.6,0.8095399999999998,0.8077779999999999,0.8154600000000001,0.42679999999999996
100,erdos_renyi,8,2,2,3.0,3.0,0.8090999999999999,0.8075419999999998,0.81502,0.4262
101,erdos_renyi,8,2,2,4.0,4.0,0.8090599999999999,0.807272,0.8145199999999999,0.4266
102,erdos_renyi,8,2,2,5.0,5.0,0.8091200000000001,0.8071079999999998,0.8147800000000001,0.4264
103,erdos_renyi,8,2,2,6.0,6.0,0.8091799999999999,0.8067780000000001,0.8142199999999999,0.4264
104,erdos_renyi,8,2,2,7.0,7.0,0.8089200000000002,0.8063099999999999,0.81294,0.426
105,erdos_renyi,8,2,2,8.0,8.0,0.8085000000000001,0.8058800000000002,0.81296,0.4262
106,erdos_renyi,8,2,2,10.0,10.0,0.8069200000000001,0.8041920000000001,0.81218,0.4244
107,erdos_renyi,8,2,2,12.0,12.0,0.8029599999999999,0.8013159999999999,0.80946,0.42
108,erdos_renyi,8,2,2,14.0,14.0,0.79818,0.796546,0.8036599999999998,0.4128
109,erdos_renyi,8,2,2,16.0,16.0,0.79216,0.789588,0.79484,0.404
110,erdos_renyi,8,2,2,18.0,18.0,0.7834999999999999,0.781152,0.78712,0.39039999999999997
111,erdos_renyi,8,2,3,0.0,0.0,0.5796666666666667,0.578771111111111,0.5836222222222223,0.007599999999999999
112,erdos_renyi,8,2,3,0.25,0.25,0.5766000000000001,0.5777311111111112,0.581911111111111,0.007599999999999999
113,erdos_renyi,8,2,3,0.33,0.33,0.5791555555555556,0.5777822222222222,0.5814222222222222,0.0078
114,erdos_renyi,8,2,3,0.38,0.38,0.5790222222222222,0.5773777777777778,0.5811777777777778,0.008
115,erdos_renyi,8,2,3,0.4,0.4,0.5793555555555555,0.5772444444444444,0.5821111111111112,0.0078
