graph_family,n,p,seed,objective,init_id,init_seed,init_params,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,final_optimal_mass,gamma_plot,gamma_average_requested,gamma_average_realized,gamma_start,gamma_end_exclusive,gamma_last
erdos_renyi,8,2,2,QTL ascending schedule with average gamma=16.00,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8118400000000001,0.8091460000000001,0.8175800000000001,0.4308,16.0,16.0,15.839999999999998,0.0,32.0,31.68
erdos_renyi,8,2,2,QTL ascending schedule with average gamma=16.00,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.5477399999999999,0.546348,0.55332,0.0336,16.0,16.0,15.839999999999998,0.0,32.0,31.68
erdos_renyi,8,2,2,QTL ascending schedule with average gamma=16.00,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.69008,0.6927380000000001,0.6996600000000001,0.1904,16.0,16.0,15.839999999999998,0.0,32.0,31.68
erdos_renyi,8,2,2,QTL ascending schedule with average gamma=24.00,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.7439,0.748574,0.75564,0.2934,24.0,24.0,23.76,0.0,48.0,47.519999999999996
erdos_renyi,8,2,2,QTL ascending schedule with average gamma=24.00,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.54696,0.5459959999999999,0.55152,0.0328,24.0,24.0,23.76,0.0,48.0,47.519999999999996
erdos_renyi,8,2,2,QTL ascending schedule with average gamma=24.00,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.81294,0.809534,0.81714,0.431,24.0,24.0,23.76,0.0,48.0,47.519999999999996
erdos_renyi,8,2,2,QTL ascending schedule with average gamma=24.00,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.5478,0.5465380000000001,0.55168,0.033600000000000005,24.0,24.0,23.76,0.0,48.0,47.519999999999996
erdos_renyi,8,2,2,QTL ascending schedule with average gamma=24.00,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.6894800000000001,0.6930440000000001,0.69844,0.1918,24.0,24.0,23.76,0.0,48.0,47.519999999999996
erdos_renyi,8,2,2,QTL ascending schedule with average gamma=36.00,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.72922,0.7346079999999999,0.73838,0.2502,36.0,36.0,35.64000000000001,0.0,72.0,71.28
erdos_renyi,8,2,2,QTL ascending schedule with average gamma=36.00,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.5461,0.54532,0.55128,0.033,36.0,36.0,35.64000000000001,0.0,72.0,71.28
