control_index,control_r,alpha,one_minus_alpha,gamma,graph_family,graph_seed,init_id,init_seed,device_seed,final_mean_ratio_cvar,final_mean_ratio_qtl,tail_mean_ratio_cvar,tail_mean_ratio_qtl,peak_mean_ratio_cvar,peak_mean_ratio_qtl,final_optimal_mass_cvar,final_optimal_mass_qtl,final_mean_ratio_cvar_minus_qtl,tail_mean_ratio_cvar_minus_qtl,peak_mean_ratio_cvar_minus_qtl,final_optimal_mass_cvar_minus_qtl
2,0.1870866433571444,0.65,0.35,0.7483465734285776,erdos_renyi,0,2,20262431,910202,0.8819428571428573,0.889457142857143,0.8794857142857143,0.8874428571428572,0.89,0.8909142857142857,0.43839999999999996,0.43239999999999995,-0.007514285714285696,-0.007957142857142885,-0.0009142857142856453,0.006000000000000005
2,0.1870866433571444,0.65,0.35,0.7483465734285776,erdos_renyi,0,3,20262432,910203,0.6225714285714286,0.6233428571428572,0.6184771428571428,0.6185114285714286,0.623942857142857,0.6233428571428572,0.0238,0.0274,-0.0007714285714286451,-3.4285714285764435e-05,0.0005999999999998229,-0.003599999999999999
2,0.1870866433571444,0.65,0.35,0.7483465734285776,erdos_renyi,0,4,20262433,910204,0.8072571428571429,0.8087714285714286,0.8068714285714286,0.8084200000000001,0.8122285714285715,0.8128857142857143,0.2268,0.22419999999999998,-0.0015142857142856903,-0.0015485714285715657,-0.0006571428571428006,0.002600000000000019
2,0.1870866433571444,0.65,0.35,0.7483465734285776,erdos_renyi,1,0,20262429,920200,0.8561,0.8618400000000002,0.8582740000000001,0.8628020000000001,0.8762599999999999,0.8664200000000001,0.1254,0.10719999999999999,-0.005740000000000189,-0.0045279999999999765,0.009839999999999849,0.01820000000000002
2,0.1870866433571444,0.65,0.35,0.7483465734285776,erdos_renyi,1,1,20262430,920201,0.6742199999999999,0.66892,0.673932,0.6662600000000001,0.6808,0.67242,0.0,0.0004,0.005299999999999971,0.007671999999999901,0.008379999999999943,-0.0004
2,0.1870866433571444,0.65,0.35,0.7483465734285776,erdos_renyi,1,2,20262431,920202,0.8665800000000001,0.87226,0.8632960000000001,0.869548,0.8735000000000002,0.8727,0.138,0.12940000000000002,-0.005679999999999907,-0.006251999999999924,0.0008000000000001339,0.008599999999999997
2,0.1870866433571444,0.65,0.35,0.7483465734285776,erdos_renyi,1,3,20262432,920203,0.67016,0.66138,0.6698640000000001,0.660768,0.67558,0.6653,0.016800000000000002,0.004200000000000001,0.00878000000000001,0.009096000000000104,0.010279999999999956,0.012600000000000002
2,0.1870866433571444,0.65,0.35,0.7483465734285776,erdos_renyi,1,4,20262433,920204,0.8182600000000001,0.82028,0.818748,0.8233119999999999,0.8244,0.82682,0.0756,0.0728,-0.0020199999999999108,-0.0045639999999999015,-0.0024199999999999777,0.002799999999999997
2,0.1870866433571444,0.65,0.35,0.7483465734285776,erdos_renyi,2,0,20262429,930200,0.75876,0.7563799999999999,0.758672,0.756616,0.76626,0.7641,0.294,0.2982,0.0023800000000000487,0.0020560000000000578,0.0021600000000000508,-0.004200000000000037
2,0.1870866433571444,0.65,0.35,0.7483465734285776,erdos_renyi,2,1,20262430,930201,0.54476,0.54574,0.546656,0.5470200000000001,0.5525800000000001,0.55558,0.0298,0.032,-0.0009799999999999809,-0.00036400000000003097,-0.0029999999999998916,-0.0022000000000000006
2,0.1870866433571444,0.65,0.35,0.7483465734285776,erdos_renyi,2,2,20262431,930202,0.8112600000000001,0.8126000000000001,0.8142460000000001,0.8132860000000001,0.8234999999999999,0.8223800000000001,0.4132,0.4194,-0.0013400000000000079,0.0009600000000000719,0.0011199999999997878,-0.006199999999999983
