task_id,method,control_index,control_r,alpha,one_minus_alpha,gamma,graph_family,n,p,graph_seed,init_id,init_seed,device_seed,initial_parameters,final_parameters,final_objective_loss,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,best_ratio_so_far,final_optimal_mass,shots,steps,tail_window,optimizer_learning_rate,optimizer_learning_rate_decay_power,optimizer_learning_rate_decay_offset,optimizer_momentum,optimizer_gradient_clip,optimizer_tilt_learning_rate_penalty,simulator
QTL|r=0.301029995664|erdos_renyi|g=0|init=0,QTL,3,0.30102999566398114,0.5,0.5,1.2041199826559246,erdos_renyi,8,2,0,0,20262429,910300,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]","[2.708759660849614, 0.9123691358363364, 3.3872266610594743, 4.442222782102021]",0.5728236380720579,0.8682000000000001,0.8696685714285713,0.8747428571428573,1.0,0.35300000000000004,5000,100,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
CVaR|r=0.301029995664|erdos_renyi|g=0|init=1,CVaR,3,0.30102999566398114,0.5,0.5,1.2041199826559246,erdos_renyi,8,2,0,1,20262430,910301,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]","[4.48165095661346, 3.5632083978140865, 5.5089149978207175, 0.9094482559564102]",1.6060000000000005,0.6153142857142857,0.6196371428571428,0.6266857142857143,1.0,0.038599999999999995,5000,100,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
QTL|r=0.301029995664|erdos_renyi|g=0|init=1,QTL,3,0.30102999566398114,0.5,0.5,1.2041199826559246,erdos_renyi,8,2,0,1,20262430,910301,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]","[4.3139224156947815, 3.6972269099140607, 5.690767132364212, 0.6003039621479269]",1.5910978304810697,0.6263714285714286,0.6220885714285714,0.6305142857142857,1.0,0.0684,5000,100,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
CVaR|r=0.301029995664|erdos_renyi|g=0|init=2,CVaR,3,0.30102999566398114,0.5,0.5,1.2041199826559246,erdos_renyi,8,2,0,2,20262431,910302,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]","[0.33971981944951796, 3.784625907740963, 1.0498602156078223, 2.8466470398919723]",0.15480000000000005,0.8784285714285714,0.8782,0.8911142857142857,1.0,0.4226,5000,100,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
QTL|r=0.301029995664|erdos_renyi|g=0|init=2,QTL,3,0.30102999566398114,0.5,0.5,1.2041199826559246,erdos_renyi,8,2,0,2,20262431,910302,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]","[0.3240589348023781, 3.7571303417360107, 1.0611921593205471, 2.8532291672967856]",0.4757789188889344,0.8852000000000001,0.8851228571428571,0.8885142857142858,1.0,0.4236,5000,100,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
CVaR|r=0.301029995664|erdos_renyi|g=0|init=3,CVaR,3,0.30102999566398114,0.5,0.5,1.2041199826559246,erdos_renyi,8,2,0,3,20262432,910303,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]","[4.272817929553457, 3.1084831140824143, 3.332487793236199, 2.000240597820263]",1.7163999999999997,0.6181142857142857,0.6185657142857142,0.6235142857142856,1.0,0.0228,5000,100,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
QTL|r=0.301029995664|erdos_renyi|g=0|init=3,QTL,3,0.30102999566398114,0.5,0.5,1.2041199826559246,erdos_renyi,8,2,0,3,20262432,910303,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]","[3.46560056746143, 3.7549259751458957, 2.634199848285798, 1.2836890321069945]",0.47962951436071216,0.8821714285714286,0.8837800000000001,0.8907428571428573,1.0,0.423,5000,100,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
CVaR|r=0.301029995664|erdos_renyi|g=0|init=4,CVaR,3,0.30102999566398114,0.5,0.5,1.2041199826559246,erdos_renyi,8,2,0,4,20262433,910304,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]","[1.6124403736969994, 5.120057885647358, 5.935761655095564, 4.316750129397344]",0.5408,0.8017142857142857,0.7994514285714286,0.8062857142857143,1.0,0.2296,5000,100,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
QTL|r=0.301029995664|erdos_renyi|g=0|init=4,QTL,3,0.30102999566398114,0.5,0.5,1.2041199826559246,erdos_renyi,8,2,0,4,20262433,910304,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]","[1.6135598709738992, 5.093914531809674, 5.973401106538134, 4.318910723010222]",0.8134502732451849,0.8075428571428572,0.8045457142857142,0.8103714285714287,1.0,0.22980000000000003,5000,100,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
CVaR|r=0.45593195565|erdos_renyi|g=0|init=0,CVaR,4,0.4559319556497244,0.35,0.65,1.8237278225988975,erdos_renyi,8,2,0,0,20262429,910400,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]","[2.7347685554805645, 0.881846295955986, 3.405331361383576, 4.4724173569772105]",0.0,0.8724,0.8721914285714286,0.8776,1.0,0.3578,5000,100,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
