graph_family,n,p,seed,objective,init_id,init_seed,init_params,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,final_optimal_mass,gamma_plot,gamma_start,gamma_end
erdos_renyi,8,2,0,QTL linear schedule to 2.50,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.616257142857143,0.6127314285714287,0.6212571428571428,0.0238,2.5,0.0,2.5
erdos_renyi,8,2,0,QTL linear schedule to 2.50,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.8027714285714287,0.7995228571428571,0.8118285714285715,0.2334,2.5,0.0,2.5
erdos_renyi,8,2,0,QTL linear schedule to 3.00,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.8694571428571428,0.8681828571428571,0.8758,0.3668,3.0,0.0,3.0
erdos_renyi,8,2,0,QTL linear schedule to 3.00,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.6414285714285715,0.6407428571428572,0.6434857142857143,0.081,3.0,0.0,3.0
erdos_renyi,8,2,0,QTL linear schedule to 3.00,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.880057142857143,0.8804028571428573,0.8896000000000001,0.4312,3.0,0.0,3.0
erdos_renyi,8,2,0,QTL linear schedule to 3.00,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.6140857142857143,0.6119342857142858,0.6214571428571428,0.022999999999999996,3.0,0.0,3.0
erdos_renyi,8,2,0,QTL linear schedule to 3.00,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.8010857142857143,0.798377142857143,0.8115714285714286,0.23279999999999998,3.0,0.0,3.0
erdos_renyi,8,2,0,QTL linear schedule to 4.00,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.8689142857142859,0.8675228571428573,0.8749428571428571,0.3664,4.0,0.0,4.0
erdos_renyi,8,2,0,QTL linear schedule to 4.00,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.6393714285714286,0.6369228571428571,0.6415142857142858,0.08299999999999999,4.0,0.0,4.0
erdos_renyi,8,2,0,QTL linear schedule to 4.00,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8795428571428572,0.8795028571428573,0.887942857142857,0.4306,4.0,0.0,4.0
erdos_renyi,8,2,0,QTL linear schedule to 4.00,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.608,0.6093999999999999,0.6203142857142857,0.027599999999999996,4.0,0.0,4.0
erdos_renyi,8,2,0,QTL linear schedule to 4.00,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.7994285714285715,0.7970485714285716,0.811,0.23199999999999998,4.0,0.0,4.0
erdos_renyi,8,2,1,QTL linear schedule to 0.00,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.87468,0.8729340000000001,0.8762599999999999,0.118,0.0,0.0,0.0
erdos_renyi,8,2,1,QTL linear schedule to 0.00,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.68468,0.683298,0.6867599999999999,0.0126,0.0,0.0,0.0
erdos_renyi,8,2,1,QTL linear schedule to 0.00,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.87476,0.873002,0.87622,0.118,0.0,0.0,0.0
erdos_renyi,8,2,1,QTL linear schedule to 0.00,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.68244,0.6828779999999999,0.68702,0.0102,0.0,0.0,0.0
erdos_renyi,8,2,1,QTL linear schedule to 0.00,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.8261200000000001,0.826346,0.8302800000000001,0.060399999999999995,0.0,0.0,0.0
erdos_renyi,8,2,1,QTL linear schedule to 0.20,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.87386,0.872704,0.8762399999999999,0.122,0.2,0.0,0.2
erdos_renyi,8,2,1,QTL linear schedule to 0.20,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.67862,0.6824619999999999,0.68632,0.0092,0.2,0.0,0.2
erdos_renyi,8,2,1,QTL linear schedule to 0.20,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8738199999999999,0.872664,0.8762399999999999,0.122,0.2,0.0,0.2
erdos_renyi,8,2,1,QTL linear schedule to 0.20,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.68058,0.6823940000000001,0.68692,0.0074,0.2,0.0,0.2
erdos_renyi,8,2,1,QTL linear schedule to 0.20,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.8258199999999999,0.825676,0.8296199999999999,0.062200000000000005,0.2,0.0,0.2
erdos_renyi,8,2,1,QTL linear schedule to 0.40,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.87202,0.8715439999999999,0.8758199999999998,0.1248,0.4,0.0,0.4
erdos_renyi,8,2,1,QTL linear schedule to 0.40,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.6835800000000001,0.6809320000000001,0.6835800000000001,0.0054,0.4,0.0,0.4
erdos_renyi,8,2,1,QTL linear schedule to 0.40,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8720600000000001,0.871562,0.8760800000000002,0.1248,0.4,0.0,0.4
erdos_renyi,8,2,1,QTL linear schedule to 0.40,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.68324,0.6792539999999999,0.68324,0.0004,0.4,0.0,0.4
erdos_renyi,8,2,1,QTL linear schedule to 0.40,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.8256599999999998,0.8251,0.8296399999999998,0.0652,0.4,0.0,0.4
erdos_renyi,8,2,1,QTL linear schedule to 0.60,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.87088,0.870382,0.8758400000000002,0.1278,0.6,0.0,0.6
erdos_renyi,8,2,1,QTL linear schedule to 0.60,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.6671,0.6722959999999999,0.67918,0.0,0.6,0.0,0.6
erdos_renyi,8,2,1,QTL linear schedule to 0.60,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8709600000000002,0.8703700000000001,0.87562,0.1278,0.6,0.0,0.6
erdos_renyi,8,2,1,QTL linear schedule to 0.60,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.6738000000000001,0.6730400000000001,0.68248,0.0,0.6,0.0,0.6
erdos_renyi,8,2,1,QTL linear schedule to 0.60,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.8251799999999999,0.824232,0.8299199999999999,0.0658,0.6,0.0,0.6
erdos_renyi,8,2,1,QTL linear schedule to 0.80,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.86994,0.8694879999999999,0.8760199999999999,0.13019999999999998,0.8,0.0,0.8
erdos_renyi,8,2,1,QTL linear schedule to 0.80,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.6653399999999999,0.66595,0.67916,0.0012000000000000001,0.8,0.0,0.8
